date_applied,source,work_setup,status,resume,cover_letter,tailored,next_follow_up,max_stage
2026-05-01,Jobstreet,Remote,No Response,Yes,No,No,,
2026-05-02,Jobstreet,Remote,No Response,Yes,No,No,,
2026-05-02,Direct / Careers,Remote,Rejected,Yes,No,No,,
2026-05-03,Direct / Pinpoint ATS,Remote,Rejected,Yes,No,No,,
2026-05-01,Direct / Freshteam,Remote,Rejected,Yes,Yes,No,,4
2026-05-20,LinkedIn,Onsite - Manila,No Response,Yes,No,No,,
2026-05-20,Direct / Workable,Remote,Rejected,Yes,No,No,,
2026-05-20,Platform,Remote,Rejected,Yes,No,No,,
2026-06-04,Direct Email,Onsite - Davao,Closed / Expired,Yes,Yes,No,,
2026-06-04,LinkedIn,Remote,Talent Pool,Yes,No,No,,
2026-06-04,LinkedIn,Remote,Rejected,Yes,No,No,,
2026-06-04,Direct Email,Hybrid,No Response,Yes,No,No,,
2026-07-28,Direct Email,Remote,Talent Pool,Yes,No,No,,
2026-07-30,CGI / Njoyn,Hybrid,In Review,Yes,No,No,,
2026-07-30,Jobstreet,Remote,Rejected,Yes,No,No,,2
2026-07-30,LinkedIn,Remote,Rejected,Yes,No,No,,
2026-07-31,Jobstreet,Remote,Applied,Yes,No,No,,
2026-07-31,Indeed,Remote,Applied,Yes,No,No,,
2026-08-01,LinkedIn,Remote,Viewed by Employer,Yes,No,No,,
2026-08-02,LinkedIn,Hybrid,Rejected,Yes,No,No,,
2026-08-02,LinkedIn,Remote,Applied,Yes,No,No,,
2026-08-02,Kalibrr,Remote,Rejected,Yes,No,No,,
2026-08-03,Indeed,Onsite,Applied,Yes,No,No,,
2026-08-04,Indeed,Remote,Applied,Yes,No,No,,
2026-08-04,LinkedIn,Remote,Rejected,Yes,No,No,,
2026-08-05,Direct Email,Remote,In Review,Yes,No,No,,
2026-08-07,Jobstreet,Remote,Viewed by Employer,Yes,No,No,,
2026-08-08,Lever,Remote,Applied,Yes,No,No,,
2026-08-10,Indeed,Remote,Rejected,Yes,No,No,,
2026-08-10,Jobstreet,Remote,Applied,Yes,No,No,,
2026-08-10,LinkedIn,Onsite - Davao,Applied,Yes,No,No,,
2026-08-10,LinkedIn / Direct,Remote,Materials Ready — VERIFY,Yes,Yes,Yes,,
2026-08-11,LinkedIn,Remote,Applied,Yes,No,No,,
2026-08-11,LinkedIn,Remote,Rejected,Yes,No,No,,
2026-08-13,Direct / Platform,Remote,In Review,Yes,No,No,,
2026-08-13,Platform,Remote,Assessment,Yes,No,No,2026-09-22,
2026-08-14,Jobstreet,Remote,Applied,Yes,No,No,,
2026-08-14,Jobstreet,Remote,Applied,Yes,No,No,,
2026-08-14,Jobstreet,Remote,Rejected,Yes,No,No,,
2026-08-15,Jobstreet,Remote - AU,Rejected,Yes,No,No,,
2026-08-15,Jobstreet,Remote - AU,Applied,Yes,No,No,,
2026-08-15,LinkedIn,Remote - US,Applied,Yes,No,No,,
2026-08-16,Platform,Remote,Assessment,No,No,No,2026-09-25,
2026-08-17,Direct / Careers,Onsite - Manila,In Review,Yes,No,No,,
2026-08-17,Jobstreet,Remote - AU,Closed / Expired,Yes,No,No,,
2026-08-17,Jobstreet,Remote,Closed / Expired,Yes,No,No,,
2026-08-17,LinkedIn,Remote,Materials Ready — VERIFY,Yes,Yes,No,,
2026-08-17,LinkedIn,Onsite - NCR,Applied,Yes,No,No,,
2026-08-18,LinkedIn,Onsite - Mandaluyong,Applied,Yes,No,No,,
2026-08-19,Jobstreet,Remote,Closed / Expired,Yes,No,No,,
2026-08-20,Direct / ATS,Remote,In Review,Yes,No,No,,
2026-08-23,Jobstreet,Remote,Applied,Yes,No,No,,
2026-08-23,Jobstreet,Remote,Applied,Yes,No,No,,
